,0,1
0,age,95
1,age_o,104
2,race,63
3,race_o,73
4,importance_same_race,79
5,importance_same_religion,79
6,field,63
7,pref_o_attractive,89
8,pref_o_sincere,89
9,pref_o_intelligence,89
10,pref_o_funny,98
11,pref_o_ambitious,107
12,pref_o_shared_interests,129
13,attractive_o,212
14,sinsere_o,287
15,intelligence_o,306
16,funny_o,360
17,ambitous_o,722
18,shared_interests_o,1076
19,attractive_important,79
20,sincere_important,79
21,intellicence_important,79
22,funny_important,89
23,ambtition_important,99
24,shared_interests_important,121
25,attractive,105
26,sincere,105
27,intelligence,105
28,funny,105
29,ambition,105
30,attractive_partner,202
31,sincere_partner,277
32,intelligence_partner,296
33,funny_partner,350
34,ambition_partner,712
35,shared_interests_partner,1067
36,sports,79
37,tvsports,79
38,exercise,79
39,dining,79
40,museums,79
41,art,79
42,hiking,79
43,gaming,79
44,clubbing,79
45,reading,79
46,tv,79
47,theater,79
48,movies,79
49,concerts,79
50,music,79
51,shopping,79
52,yoga,79
53,interests_correlate,158
54,expected_happy_with_sd_people,101
55,expected_num_interested_in_me,6578
56,expected_num_matches,1173
57,like,240
58,guess_prob_liked,309
59,met,375
